"","Code","ProjectBase","n"
"544","BOST4","Colorado White River FO",1
"545","LOTRP","Colorado White River FO",2
"546","PF11","California NorCal",4
"547","PF11","Colorado White River FO",2
"548","PF11","Nevada CCDO",3
"549","PF11","Nevada EKDO",2
"550","PF11","Nevada WMDO",3
"551","PF11","New Mexico RGdNNM",3
"552","POAG","Colorado White River FO",1
"553","STCO3","Colorado White River FO",3
"554","PG01","Alaska NPR-A",1
"555","PG01","California NorCal",4
"556","PG01","California SurpriseFO ESR",12
"557","PG01","Colorado White River FO",50
"558","PG01","Nevada BMDO",2
"559","PG01","Nevada CCDO",4
"560","PG01","Nevada EKDO",10
"561","PG01","Nevada Winnemucca ESR",3
"562","PG01","Nevada WMDO",15
"563","PG01","New Mexico RGdNNM",1
"564","PG01","Wyoming Lander FO",4
"565","AF10","California NorCal",4
"566","AF10","California Riverside East SEZ",3
"567","AF10","Nevada BMDO",2
"568","AF10","Nevada CCDO",4
"569","AF10","Nevada SNDO",5
"570","AF10","Nevada WMDO",2
"571","AF10","Washington Wenatchee  FO",1
"572","","Alaska NPR-A",1
"573","","California NorCal",1
"574","","Colorado Grand Junction FO",1
"575","","Idaho CRMONM AIM",1
"576","","Nevada CCDO",1
"577","","Nevada EKDO",1
"578","","Nevada WMDO",4
"579","GILIA#1","Nevada CCDO",3
"580","PGXX","Nevada CCDO",3
"581","PGXX","Nevada EKDO",1
"582","COLLO#2","Nevada CCDO",3
"583","GAYOP#3","Nevada CCDO",3
"584","CHAENAF","California NorCal",2
"585","CHAENAF","California Riverside East SEZ",2
"586","CHAENAF","Nevada CCDO",23
"587","CHAENAF","Nevada SNDO",6
"588","AF25","California NorCal",3
"589","AF25","Nevada BMDO",1
"590","AF25","Nevada SNDO",1
"591","AF25","Nevada Winnemucca ESR",2
"592","AF33","California NorCal",3
"593","AF33","Nevada SNDO",2
"594","AF33","Nevada Winnemucca ESR",4
"595","CASTI2AF","Nevada SNDO",3
"596","SH13","California NorCal",1
"597","SH13","Nevada CCDO",3
"598","SH13","Nevada SNDO",2
"599","CUSCUAF","Nevada SNDO",1
"600","PF19","California NorCal",4
"601","PF19","Nevada CCDO",3
"602","PF19","Nevada SNDO",2
"603","PF19","Nevada Winnemucca ESR",1
"604","SH17","Nevada SNDO",2
"605","CHAMA15PF","Nevada SNDO",3
"606","CHAMA15PF","Nevada WMDO",6
"607","CHAMA15PF","Utah Grand Staircase Escalante NM",1
"608","SH03","California NorCal",2
"609","SH03","Nevada EYDO",1
"610","SH03","Nevada SNDO",4
"611","SH03","Nevada Winnemucca ESR",1
"612","SH03","Nevada WMDO",3
"613","SH03","New Mexico RGdNNM",1
"614","PHACEAF","California NorCal",7
"615","PHACEAF","Nevada CCDO",4
"616","PHACEAF","Nevada SNDO",7
"617","PHACEAF","Utah Grand Staircase Escalante NM",1
"618","PHACEAF","Washington Wenatchee  FO",4
"619","AF29","California NorCal",4
"620","AF29","Nevada BMDO",1
"621","AF29","Nevada SNDO",4
